rayOrigin.x,rayOrigin.y,rayOrigin.z,dir.x,dir.y,dirr.z,finalPos.x,finalPos.y,finalPos.z
0.008280121,120.0026,-0.0318514,0.1356775,0.007931561,0.9907213,24.59484,121.4399,179.5
0.008433076,120.0026,-0.03184903,0.1361458,0.007959147,0.9906569,24.68147,121.445,179.5
0.008605744,120.0026,-0.03184534,0.13582,0.007951268,0.9907016,24.62148,121.4435,179.5
0.008943482,120.0026,-0.03183832,0.1355345,0.007777529,0.9907421,24.56907,121.4119,179.5
0.009591981,120.0026,-0.03182439,0.1350743,0.007605727,0.9908063,24.48475,121.3807,179.5
0.009729905,120.0026,-0.03182105,0.1347504,0.007341912,0.9908524,24.42505,121.3328,179.5
0.009865143,120.0025,-0.03181691,0.1344082,0.007114204,0.9909005,24.362,121.2915,179.5
0.009959077,120.0025,-0.03181488,0.1337849,0.006677283,0.9909879,24.24704,121.2122,179.5
0.009679749,120.0026,-0.031815,0.1334943,0.006494768,0.9910283,24.19312,121.1791,179.5
0.009491578,120.0026,-0.03181836,0.1334504,0.00639498,0.9910349,24.18481,121.161,179.5
0.00911554,120.0026,-0.03182491,0.1339431,0.006518615,0.9909676,24.27535,121.1835,179.5
0.009025544,120.0026,-0.03182672,0.1347293,0.006622777,0.9908603,24.42033,121.2025,179.5
0.008728302,120.0026,-0.03181786,0.1359561,0.006735892,0.990692,24.6465,121.2232,179.5
-0.000684021,120.0028,-0.03196215,0.1423448,0.007124748,0.9897915,25.81833,121.2951,179.5
-0.006140595,120.0029,-0.03208829,0.1496926,0.00794731,0.9887006,27.17562,121.446,179.5
-0.00947223,120.003,-0.03216777,0.1576988,0.009265853,0.9874438,28.66255,121.6877,179.5
-0.008597992,120.003,-0.03213037,0.1575457,0.009999119,0.9874611,28.63508,121.821,179.5
-0.004174011,120.0029,-0.03202616,0.1575467,0.008663588,0.9874735,28.63931,121.578,179.5
0.00189711,120.0028,-0.03188358,0.1543217,0.008427834,0.9879847,28.04451,121.5342,179.5
0.007008225,120.0027,-0.03181932,0.149441,0.007635075,0.9887412,27.14193,121.389,179.5
0.003985398,120.0028,-0.03189069,0.1470933,0.006767774,0.9890995,26.70296,121.2312,179.5
0.001311737,120.0028,-0.03194876,0.1463473,0.007240893,0.9892068,26.562,121.317,179.5
0.001394836,120.0028,-0.03199008,0.1372074,0.01229862,0.990466,24.87163,122.2321,179.5
0.002267197,120.0028,-0.03198529,0.1367696,0.01065729,0.9905456,24.79116,121.9344,179.5
0.0006611023,120.0029,-0.03202893,0.1360269,0.01033605,0.9906512,24.65231,121.876,179.5
-0.0003807526,120.0029,-0.03205925,0.1340026,0.01103599,0.9909195,24.27784,122.0024,179.5
-0.001488129,120.0029,-0.03209503,0.1347404,0.01076845,0.9908224,24.41279,121.9541,179.5
-0.001861984,120.0029,-0.03211249,0.1351458,0.01112034,0.9907633,24.48734,122.018,179.5
-0.001136078,120.0029,-0.0320934,0.1333333,0.009419681,0.9910265,24.15321,121.7094,179.5
0.0007804718,120.0029,-0.0320574,0.1300395,0.008178421,0.9914751,23.54777,121.4838,179.5
0.0032538,120.0028,-0.03201463,0.1268019,0.007389022,0.9919006,22.95415,121.3402,179.5
0.01207707,120.0026,-0.0318682,0.120248,0.008341346,0.9927089,21.75899,121.5112,179.5
0.01222884,120.0026,-0.03186258,0.1148887,0.008338065,0.9933434,20.77663,121.5096,179.5
0.01236943,120.0026,-0.0318597,0.1110903,0.008259035,0.993776,20.08152,121.4947,179.5
0.01216535,120.0026,-0.03184822,0.1072342,0.006773836,0.9942107,19.37622,121.2258,179.5
0.0120571,120.0026,-0.03184767,0.1048656,0.006362752,0.9944661,18.94354,121.1513,179.5
