rayOrigin.x,rayOrigin.y,rayOrigin.z,dir.x,dir.y,dirr.z,finalPos.x,finalPos.y,finalPos.z
0.01016629,120.0008,-0.02998438,0.08162041,0.09467345,0.9921568,14.77931,137.1319,179.5
0.0105257,120.0008,-0.02999558,0.08077712,0.09420007,0.9922708,14.6254,137.0443,179.5
0.01087328,120.0008,-0.03000789,0.08007725,0.09388326,0.9923576,14.49786,136.9855,179.5
0.0111109,120.0008,-0.03000617,0.07965582,0.09332398,0.9924443,14.42059,136.8828,179.5
0.01097842,120.0008,-0.03000054,0.07939771,0.09294123,0.9925008,14.37295,136.8126,179.5
0.01066817,120.0008,-0.02998906,0.07920462,0.09287617,0.9925224,14.3374,136.8005,179.5
0.0104726,120.0008,-0.02997882,0.07895197,0.09262873,0.9925656,14.29088,136.755,179.5
0.009923889,120.0008,-0.02992911,0.07889526,0.09269243,0.9925642,14.28009,136.7666,179.5
0.008839523,120.0009,-0.02989081,0.07907575,0.09283006,0.992537,14.31205,136.7919,179.5
0.005374756,120.001,-0.02974477,0.07971,0.09394008,0.9923818,14.42555,136.9955,179.5
0.004380646,120.001,-0.0297085,0.08019332,0.09482831,0.9922584,14.51379,137.1584,179.5
0.003972641,120.001,-0.02968982,0.08055683,0.09534883,0.992179,14.58032,137.2539,179.5
0.003973053,120.001,-0.02967897,0.08106737,0.09564225,0.9921092,14.67373,137.3082,179.5
0.005270401,120.001,-0.02971912,0.08119638,0.09573468,0.9920897,14.69866,137.3253,179.5
0.007718262,120.0009,-0.02980055,0.08099665,0.09626275,0.9920549,14.66549,137.4213,179.5
0.0100179,120.0008,-0.02987714,0.08070619,0.0965284,0.9920528,14.61526,137.4694,179.5
0.01088367,120.0008,-0.02990621,0.08043999,0.09698223,0.9920302,14.56829,137.5518,179.5
0.01164391,120.0007,-0.02993198,0.08038218,0.09738038,0.9919959,14.55909,137.6245,179.5
0.009822434,120.0008,-0.02981676,0.07952947,0.09803123,0.9920005,14.40287,137.7422,179.5
0.007905167,120.001,-0.02989765,0.08498371,0.1017201,0.9911765,15.40084,138.4253,179.5
0.004025223,120.0012,-0.0298483,0.1153085,0.10872,0.9873621,20.97032,139.7695,179.5
0.00376735,120.0013,-0.02989508,0.1470343,0.1136228,0.9825838,26.8687,140.7615,179.5
0.005563477,120.0012,-0.02998757,0.1724129,0.1171448,0.9780342,31.65404,141.5045,179.5
0.004286713,120.0012,-0.02993454,0.1877039,0.1185078,0.9750503,34.56503,141.8214,179.5
0.003578186,120.0013,-0.02990904,0.1987447,0.1186572,0.9728417,36.68026,141.8985,179.5
0.004666458,120.0012,-0.02994536,0.205037,0.1187876,0.9715191,37.89407,141.9523,179.5
0.01651918,120.0007,-0.03034342,0.207433,0.11901,0.9709831,38.36993,142.0051,179.5
0.0120907,120.0009,-0.03019463,0.2095334,0.1193085,0.9704953,38.7733,142.0716,179.5
0.01125916,120.001,-0.03016684,0.2108857,0.1194466,0.9701854,39.03508,142.1042,179.5
0.01050404,120.001,-0.0301416,0.2122667,0.1199718,0.9698194,39.3047,142.2098,179.5
0.01054655,120.001,-0.03014301,0.2131046,0.1202208,0.9696048,39.46857,142.2608,179.5
0.01047199,120.001,-0.03014034,0.21329,0.1203045,0.9695536,39.50491,142.2775,179.5
0.01043642,120.001,-0.03013869,0.2132792,0.1204968,0.9695321,39.50377,142.3136,179.5
0.01046431,120.001,-0.0301393,0.2133816,0.1206267,0.9694934,39.52433,142.3386,179.5
0.01058199,120.001,-0.0301431,0.2132743,0.1208456,0.9694898,39.50472,142.3792,179.5
0.01069418,120.001,-0.03014646,0.212879,0.1209192,0.9695675,39.42848,142.391,179.5
0.01075151,120.001,-0.03014815,0.2119614,0.1209066,0.9697701,39.25043,142.384,179.5
0.01060852,120.001,-0.0301431,0.2116636,0.1209139,0.9698342,39.19255,142.3839,179.5
0.01071871,120.001,-0.03014594,0.2109118,0.1210411,0.9699821,39.04755,142.404,179.5
0.01066446,120.001,-0.03014362,0.2103169,0.1211894,0.9700928,38.93295,142.4289,179.5
0.01060339,120.001,-0.03014105,0.2097923,0.1212606,0.9701974,38.83161,142.4397,179.5
0.01042983,120.001,-0.0301312,0.2092103,0.1214867,0.9702948,38.71985,142.4792,179.5
0.01037346,120.001,-0.03012837,0.208885,0.121977,0.9703034,38.65925,142.5697,179.5
0.01042252,120.001,-0.03012889,0.2090006,0.1223151,0.9702359,38.6834,142.6339,179.5
0.01052213,120.001,-0.03013037,0.2088749,0.1227682,0.9702058,38.66143,142.7184,179.5
0.01060205,120.001,-0.03013161,0.2063654,0.1229739,0.9707167,38.17705,142.7445,179.5
0.01058192,120.001,-0.03013036,0.2041971,0.12328,0.9711362,37.7597,142.7913,179.5
0.01060233,120.001,-0.03013004,0.2014538,0.1228714,0.9717608,37.22864,142.7011,179.5
0.01067157,120.001,-0.03013161,0.1991364,0.1228801,0.9722372,36.78255,142.6916,179.5
0.01075212,120.001,-0.03013407,0.1976715,0.1228355,0.9725417,36.50069,142.6763,179.5
0.01076056,120.001,-0.03013068,0.196724,0.1227097,0.9727497,36.31803,142.6482,179.5
0.01049202,120.001,-0.0301183,0.1958937,0.1224276,0.9729528,36.15697,142.5914,179.5
0.01034531,120.001,-0.03011159,0.1943906,0.1221469,0.9732895,35.86705,142.5319,179.5
0.01026617,120.001,-0.03010509,0.1929437,0.1214275,0.9736673,35.58628,142.3905,179.5
0.01035768,120.001,-0.03010773,0.192069,0.120927,0.9739025,35.41653,142.2928,179.5
0.01048877,120.001,-0.03011159,0.1913915,0.1206585,0.9740692,35.28575,142.2395,179.5
0.01078574,120.001,-0.03011992,0.1902072,0.1203888,0.9743345,35.05821,142.1837,179.5
0.01090505,120.001,-0.03012335,0.1895697,0.1202029,0.9744817,34.9356,142.1461,179.5
0.01114351,120.001,-0.03013092,0.1886194,0.1202311,0.9746626,34.75431,142.1472,179.5
0.01087322,120.001,-0.03011919,0.1860089,0.1205501,0.9751248,34.25696,142.1955,179.5
0.01080037,120.001,-0.03011514,0.1848525,0.1207095,0.975325,34.03699,142.2202,179.5
0.01079817,120.001,-0.03011325,0.1822172,0.1205246,0.9758436,33.53407,142.1744,179.5
0.010825,120.001,-0.0301135,0.1812818,0.1204321,0.9760292,33.35567,142.1532,179.5
0.01085539,120.001,-0.03011157,0.1804658,0.1204045,0.9761838,33.20034,142.1446,179.5
0.01101436,120.001,-0.03011611,0.1800689,0.1204858,0.9762471,33.12536,142.1581,179.5
0.01116309,120.001,-0.03011925,0.1797516,0.1205225,0.976301,33.06535,142.1636,179.5
0.01125624,120.001,-0.03012145,0.1793696,0.1204773,0.9763769,32.99262,142.1536,179.5
0.01127258,120.001,-0.03011891,0.1792802,0.1203999,0.9764028,32.97533,142.1388,179.5
0.01139743,120.001,-0.03012116,0.1789926,0.1204511,0.9764493,32.921,142.1471,179.5
0.01076028,120.001,-0.03009882,0.1788135,0.1203958,0.9764889,32.8861,142.1361,179.5
0.01061038,120.001,-0.03009285,0.1787002,0.1202245,0.9765307,32.86371,142.1037,179.5
0.0105569,120.001,-0.03009012,0.1786938,0.1198589,0.9765769,32.86093,142.0354,179.5
0.01064456,120.001,-0.03009108,0.1786906,0.1196124,0.9766077,32.85938,141.9894,179.5
0.01069824,120.001,-0.03009218,0.1783503,0.1194341,0.9766917,32.79406,141.9547,179.5
0.01073731,120.001,-0.03009122,0.1779248,0.1191681,0.9768018,32.71222,141.9034,179.5
0.01076314,120.001,-0.03009096,0.1776782,0.1192979,0.9768308,32.66593,141.9266,179.5
0.01076778,120.001,-0.03009027,0.1767217,0.1195886,0.9769688,32.48557,141.9769,179.5
0.01079411,120.001,-0.03009018,0.1756383,0.1198215,0.9771356,32.28099,142.0159,179.5
0.01084677,120.001,-0.03009186,0.1750198,0.120045,0.9772192,32.16467,142.0551,179.5
0.01089285,120.001,-0.03009261,0.1740452,0.1200947,0.9773871,31.98016,142.0605,179.5
0.01092287,120.001,-0.03009305,0.1727572,0.1201333,0.9776108,31.73634,142.0625,179.5
0.0109715,120.001,-0.03009357,0.1710827,0.1201436,0.977904,31.41946,142.0578,179.5
0.01094994,120.001,-0.0300918,0.1700734,0.1200372,0.9780931,31.22811,142.034,179.5
0.01095958,120.001,-0.03009168,0.169122,0.119978,0.9782653,31.04802,142.0192,179.5
0.01152754,120.001,-0.03010773,0.1674038,0.1198009,0.9785825,30.72331,141.9796,179.5
0.01162105,120.001,-0.03011052,0.1662562,0.1197693,0.978782,30.50665,141.9693,179.5
0.01148969,120.001,-0.03010597,0.1655188,0.1197536,0.9789089,30.36733,141.9636,179.5
0.01094412,120.001,-0.03008771,0.1649103,0.119783,0.979008,30.25212,141.9668,179.5
0.01097485,120.001,-0.03008853,0.1646266,0.1198193,0.9790513,30.19879,141.9725,179.5
0.01098288,120.001,-0.03008852,0.1645426,0.1200271,0.97904,30.18374,142.0108,179.5
0.01101588,120.001,-0.03008881,0.1649797,0.1205061,0.9789075,30.26802,142.1017,179.5
0.01098377,120.001,-0.03008748,0.16483,0.1209729,0.9788752,30.24154,142.188,179.5
0.01093285,120.001,-0.03008537,0.1640511,0.1211434,0.978985,30.09527,142.2168,179.5
0.01097954,120.001,-0.0300866,0.1632835,0.1211972,0.9791066,29.95083,142.2239,179.5
0.01135121,120.001,-0.03009708,0.1629578,0.1220798,0.9790512,29.89317,142.3869,179.5
0.01141734,120.001,-0.03009895,0.1626656,0.1227571,0.9790151,29.84075,142.512,179.5
0.01153099,120.001,-0.03010076,0.1619157,0.1235105,0.9790447,29.70246,142.6495,179.5
0.01144522,120.001,-0.0300957,0.1611587,0.1241981,0.9790826,29.56242,142.7746,179.5
0.01110579,120.001,-0.03008331,0.1604584,0.1248833,0.9791104,29.43282,142.8997,179.5
